city,state,zone,latitude,longitude,population_million,industrialization,year,month,month_name,season,aqi,aqi_category,pm25_ug_m3,pm10_ug_m3,no2_ug_m3,so2_ug_m3,co_mg_m3,o3_ug_m3,nh3_ug_m3,temperature_celsius,humidity_pct,wind_speed_kmh,rainfall_mm,visibility_km,respiratory_admissions_per_100k,asthma_er_visits_per_100k,copd_cases_per_100k,cardiovascular_events_per_100k,premature_deaths_pollution,child_respiratory_infections_per_100k
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,1,January,Winter,326,Very Poor,126.9,323.4,65.2,31.1,1.69,60.1,19.3,9.0,47.1,12.0,10.6,3.9,72.1,22.2,16.0,12.2,4.33,80.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,2,February,Winter,317,Very Poor,119.8,192.4,78.2,40.8,3.49,44.1,33.9,16.1,34.2,5.6,2.3,5.9,56.7,21.3,7.9,14.7,3.67,64.5
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,3,March,Summer,242,Poor,121.6,199.2,62.8,14.5,3.47,53.1,16.3,19.8,54.2,7.8,15.2,9.9,38.7,16.0,9.7,13.4,1.92,36.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,4,April,Summer,250,Poor,109.4,233.4,66.6,33.0,1.96,31.4,21.8,28.4,66.8,5.5,26.3,7.2,40.2,14.4,12.5,14.2,4.62,36.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,5,May,Summer,180,Moderate,103.4,171.7,41.6,23.4,2.36,35.1,11.4,30.2,49.4,4.4,1.0,6.8,35.0,11.3,9.0,13.5,2.54,14.2
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,6,June,Monsoon,210,Poor,105.3,223.0,40.5,19.4,2.7,25.6,13.7,36.0,30.1,14.5,56.5,7.5,26.5,8.6,8.3,14.3,1.49,27.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,7,July,Monsoon,139,Moderate,67.9,171.4,31.4,19.8,1.12,5.0,13.6,26.1,93.0,4.6,19.4,7.8,29.2,7.0,6.5,12.2,1.14,28.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,8,August,Monsoon,136,Moderate,70.0,129.3,35.6,18.7,1.82,44.5,16.0,26.5,79.5,3.1,14.7,14.6,33.1,11.6,6.9,10.0,2.95,30.0
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,9,September,Monsoon,155,Moderate,72.0,163.3,22.7,18.8,1.72,8.4,6.0,28.0,73.5,1.6,61.1,9.7,26.8,8.6,10.0,10.3,1.96,19.1
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,10,October,Post-Monsoon,216,Poor,104.3,159.2,60.8,19.6,2.78,37.4,19.8,25.2,70.3,6.7,41.5,8.7,37.2,11.3,8.8,12.4,4.06,41.7
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,11,November,Post-Monsoon,345,Very Poor,173.5,385.7,61.7,47.4,4.07,5.6,27.1,20.2,41.2,11.2,4.0,6.3,82.6,33.9,19.4,13.9,2.9,58.9
Delhi,Delhi,North,28.6139,77.209,21.0,High,2015,12,December,Winter,385,Very Poor,175.8,429.7,113.7,42.4,3.1,25.4,27.0,12.7,51.2,4.6,10.6,4.3,94.9,25.9,19.4,13.6,7.58,99.8
Delhi,Delhi,North,28.6139,77.209,21.0,High,2016,1,January,Winter,347,Very Poor,175.7,280.7,94.2,38.1,3.73,41.6,38.1,13.7,51.5,4.1,10.7,8.2,72.2,33.1,13.1,14.6,5.31,70.3
